database_name,database_owner,database_start_time,schema_name,schema_owner,schema_create_time,table_name,table_owner,table_create_time,column_name,column_type,column_length,column_default_value,column_nullable,column_numeric_precision,column_numeric_scale,column_id
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,employee_dimension,dbadmin,2019-04-22 18:54:59.326539-04,vacation_days,int,8,,t,,,45035996273707170-18
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,inventory_fact,dbadmin,2019-04-22 18:54:59.339886-04,date_key,int,8,,f,,,45035996273707182-1
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,inventory_fact,dbadmin,2019-04-22 18:54:59.339886-04,product_key,int,8,,f,,,45035996273707182-2
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,inventory_fact,dbadmin,2019-04-22 18:54:59.339886-04,product_version,int,8,,f,,,45035996273707182-3
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,inventory_fact,dbadmin,2019-04-22 18:54:59.339886-04,qty_in_stock,int,8,,t,,,45035996273707182-5
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,inventory_fact,dbadmin,2019-04-22 18:54:59.339886-04,warehouse_key,int,8,,f,,,45035996273707182-4
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,average_competitor_price,int,8,,t,,,45035996273707154-20
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,category_description,char(32),32,,t,,,45035996273707154-5
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,department_description,char(32),32,,t,,,45035996273707154-6
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,diet_type,char(32),32,,t,,,45035996273707154-10
VMart,dbadmin,2019-09-19 17:23:50.117624-04,public,dbadmin,2019-04-22 18:54:10.884944-04,product_dimension,dbadmin,2019-04-22 18:54:59.306639-04,discontinued_flag,int,8,,t,,,45035996273707154-21
